node1,node2,weight,node1_geoX,node1_geoY,name1,node2_geoX,node2_geoY,name2
11,32,482,116.4126168,40.18559132,北京市,119.4668764,32.9649002,江苏省
31,32,219,121.4630237,31.23916251,上海市,119.4668764,32.9649002,江苏省
32,34,181,119.4668764,32.9649002,江苏省,117.2262285,31.82588098,安徽省
32,44,147,119.4668764,32.9649002,江苏省,113.4309571,23.35444429,广东省
32,33,139,119.4668764,32.9649002,江苏省,120.0688118,29.18757197,浙江省
32,62,119,119.4668764,32.9649002,江苏省,100.6038747,37.88163326,甘肃省
32,42,96,119.4668764,32.9649002,江苏省,112.2713059,30.97568695,湖北省
32,37,79,119.4668764,32.9649002,江苏省,118.1533167,36.3531187,山东省
32,43,77,119.4668764,32.9649002,江苏省,111.7091336,27.60994289,湖南省
32,51,62,119.4668764,32.9649002,江苏省,102.6929506,30.62925044,四川省
21,32,58,122.6071784,41.29583915,辽宁省,119.4668764,32.9649002,江苏省
32,61,51,119.4668764,32.9649002,江苏省,108.8687362,35.19162255,陕西省
23,32,50,127.7631721,47.8610845,黑龙江省,119.4668764,32.9649002,江苏省
32,35,48,119.4668764,32.9649002,江苏省,117.9765879,26.07977781,福建省
32,50,38,119.4668764,32.9649002,江苏省,107.8744621,30.05717552,重庆市
12,32,35,117.3266634,39.30226978,天津市,119.4668764,32.9649002,江苏省
13,32,33,116.1272267,39.5465903,河北省,119.4668764,32.9649002,江苏省
11,34,21,116.4126168,40.18559132,北京市,117.2262285,31.82588098,安徽省
32,45,17,119.4668764,32.9649002,江苏省,108.7883507,23.83125344,广西壮族自治区
12,33,17,117.3266634,39.30226978,天津市,120.0688118,29.18757197,浙江省
32,46,16,119.4668764,32.9649002,江苏省,109.7437758,19.1956621,海南省
32,41,15,119.4668764,32.9649002,江苏省,113.6145694,33.88225077,河南省
14,32,14,112.2887993,37.57124849,山西省,119.4668764,32.9649002,江苏省
31,33,13,121.4630237,31.23916251,上海市,120.0688118,29.18757197,浙江省
31,35,12,121.4630237,31.23916251,上海市,117.9765879,26.07977781,福建省
11,31,11,116.4126168,40.18559132,北京市,121.4630237,31.23916251,上海市
31,62,11,121.4630237,31.23916251,上海市,100.6038747,37.88163326,甘肃省
34,44,7,117.2262285,31.82588098,安徽省,113.4309571,23.35444429,广东省
31,43,7,121.4630237,31.23916251,上海市,111.7091336,27.60994289,湖南省
31,42,6,121.4630237,31.23916251,上海市,112.2713059,30.97568695,湖北省
33,34,5,120.0688118,29.18757197,浙江省,117.2262285,31.82588098,安徽省
31,34,4,121.4630237,31.23916251,上海市,117.2262285,31.82588098,安徽省
31,51,4,121.4630237,31.23916251,上海市,102.6929506,30.62925044,四川省
22,32,4,126.1874275,43.66832959,吉林省,119.4668764,32.9649002,江苏省
21,34,4,122.6071784,41.29583915,辽宁省,117.2262285,31.82588098,安徽省
31,41,4,121.4630237,31.23916251,上海市,113.6145694,33.88225077,河南省
32,65,3,119.4668764,32.9649002,江苏省,85.18332983,41.11502052,新疆维吾尔自治区
31,44,3,121.4630237,31.23916251,上海市,113.4309571,23.35444429,广东省
11,33,3,116.4126168,40.18559132,北京市,120.0688118,29.18757197,浙江省
34,37,3,117.2262285,31.82588098,安徽省,118.1533167,36.3531187,山东省
33,61,3,120.0688118,29.18757197,浙江省,108.8687362,35.19162255,陕西省
32,64,2,119.4668764,32.9649002,江苏省,106.1639226,37.273152,宁夏回族自治区
31,37,2,121.4630237,31.23916251,上海市,118.1533167,36.3531187,山东省
15,32,2,113.9228319,44.08937093,内蒙古自治区,119.4668764,32.9649002,江苏省
34,51,2,117.2262285,31.82588098,安徽省,102.6929506,30.62925044,四川省
34,50,2,117.2262285,31.82588098,安徽省,107.8744621,30.05717552,重庆市
33,51,1,120.0688118,29.18757197,浙江省,102.6929506,30.62925044,四川省
32,53,1,119.4668764,32.9649002,江苏省,101.4868081,24.97501305,云南省
33,44,1,120.0688118,29.18757197,浙江省,113.4309571,23.35444429,广东省
33,43,1,120.0688118,29.18757197,浙江省,111.7091336,27.60994289,湖南省
34,62,1,117.2262285,31.82588098,安徽省,100.6038747,37.88163326,甘肃省
32,52,1,119.4668764,32.9649002,江苏省,106.8747871,26.81555492,贵州省
